"Model Name","Model Id"
"FLOODLIGHT","335_01_1"
"CONTAINER_RED","319_02_1"
"CONTAINER_BLUE","319_01_1"
"CONTAINER_YELLOW","319_03_1"
"CONTAINER_GREEN","319_04_1"
"CONTAINER_GREEN","319_05_1"
"WALLS","312_02_1"
"WALLS","312_01_1"
"WALLS","312_03_1"
"POLE_WIRED","338_01_1"
"FENCES","303_02_1"
"CHAIN_FENCE","303_01_1"
"OILSKIN_CRATE","342_01_1"
"WOODEN_CRATE","301_01_1"
"FLOODLIGHT","303_04_1"
"IRON_POLE","308_01_1"
"ROAD_TRACK","368_01_1"
"ROAD_TRACK","322_01_1"
"TRAIN_TRACK","323_01_1"
"TUNNEL","471_01_1"
"TUNNEL_BASE","485_01_1"
"TREE_SMALL","905_01_1"
"POLE_WIRE","320_02_1"
"CAMERA","313_01_1"
"CAMERA","313_02_1"
"CAMERAS_DESTROYED","313_03_1"
"ALARM_SWITCH","234_01_1"
"LARGEFUELCONTAINER","438_01_1"
"SECURITYBUILDING","400_20_1"
"DESK","205_01_1"
"PHONE","217_01_1"
"LAMP","216_01_1"
"CHAIR","215_01_1"
"FILINGCABINET","206_01_1"
"BOX","219_01_1"
"SODA_MACHINE","214_01_1"
"LINGCABINET","351_01_1"
"HOLDER","373_01_1"
"DOOR","500_01_1"
"COMPUTER","203_01_1"
"COMPUTER_DESTROYED","203_02_1"
"COMPUTER_MONITOR","252_01_1"
"WATERTOWER","435_01_1"
"ANTENA","490_02_1"
"WATCHTOWER","405_01_1"
"RADIO","204_01_1"
"GARAGE","410_01_1"
"SMALLFUELCONTAINER","439_01_1"
"CHECKPOINT","425_01_1"
"POLE","355_01_1"
"SMALLBARRACKS","418_01_1"
"BED","227_01_1"
"DOOR","503_01_1"
"SMALLWAREHOUSE","412_01_1"
"AMMOCRATE","306_01_1"
"WHEELS","600_02_1"
"TRASHCAN","315_01_1"
"OFFICEBUILDING","409_01_1"
"SOFA","238_01_1"
"TABLE","224_01_1"
"FUSEBOX","223_01_1"
"OVERPASS","417_01_1"
"LOADINGBAY","419_01_1"
"WAREHOUSE","404_01_1"
"FENCE_WOODEN","302_01_1"
"FENCE_GATES","304_01_1"
"POLE_TELEGRAPH","307_01_1"
"SWITCH","202_01_1"
"WIRE","320_01_1"
"TRUCK","622_01_1"
"TRAIN_WAGON","608_01_1"
"WAGON","609_01_1"
"WAGON","607_01_1"
"TRAIN_ENGINE","605_01_1"
"HELICOPTER","709_01_1"
"JONES","000_01_1"
"BARREL","300_04_1"
"BARREL","300_01_1"
"BARREL","300_03_1"
"ANYA_HQ","472_01_1"
"AITYPE_ANYA","015_01_1"
"AITYPE_PATROL_AK","003_01_1"
"AITYPE_SNIPER","001_01_1"
"AITYPE_SECURITY_PATROL_SPAS","019_01_1"
